[2025-06-29 15:20:41,882] 15 root - INFO - initiate the Data Ingestion
[2025-06-29 15:21:06,848] 66 root - INFO - Performed train test split on the dataframe
[2025-06-29 15:21:06,848] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-29 15:21:06,848] 75 root - INFO - Exporting train and test file path.
[2025-06-29 15:21:06,901] 79 root - INFO - Train file saved to: Artifacts/06_29_2025_15_20_40/data_ingestion/ingested/train.csv
[2025-06-29 15:21:06,901] 80 root - INFO - Test file saved to: Artifacts/06_29_2025_15_20_40/data_ingestion/ingested/test.csv
[2025-06-29 15:21:06,901] 17 root - INFO - Data initiation completed
[2025-06-29 15:21:06,904] 21 root - INFO - Initiate the Data Validation
[2025-06-29 15:21:06,923] 32 root - INFO - Required number of columns:2
[2025-06-29 15:21:06,923] 33 root - INFO - Data frame has columns:32
[2025-06-29 15:21:06,924] 32 root - INFO - Required number of columns:2
[2025-06-29 15:21:06,924] 33 root - INFO - Data frame has columns:32
[2025-06-29 15:21:07,064] 23 root - INFO - Data validation completed
[2025-06-29 15:21:07,064] 26 root - INFO - Initiate the Data Transformation
[2025-06-29 15:21:07,064] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-29 15:21:07,064] 65 root - INFO - Starting data transformation
[2025-06-29 15:21:07,081] 48 root - INFO - Entered get_data_transformer_object method of Tran sformation class
[2025-06-29 15:21:07,081] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-29 15:21:07,091] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-06-29 15:21:07,094] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-06-29 15:21:07,094] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-06-29 15:21:07,096] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-06-29 15:21:07,097] 30 root - INFO - Data transformation completed
